IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.2.218.142,8443,443,true,HKG,Asia Pacific,Hong Kong,136,4.22
138.2.14.248,2087,2087,true,HKG,Asia Pacific,Hong Kong,160,3.98
158.179.186.251,2083,2083,true,NRT,Asia Pacific,Tokyo,106,3.45
151.145.69.174,8080,8080,false,HKG,Asia Pacific,Hong Kong,288,3.45
132.145.120.197,2087,2087,true,SIN,Asia Pacific,Singapore,164,3.42
132.145.123.238,2082,2082,false,HKG,Asia Pacific,Hong Kong,170,3.41
8.222.153.11,8443,8443,true,HKG,Asia Pacific,Hong Kong,308,3.19
141.147.162.204,2086,2086,false,HKG,Asia Pacific,Hong Kong,287,3.15
132.145.123.238,8443,8443,true,HKG,Asia Pacific,Hong Kong,172,3.14
158.101.137.74,2052,2052,false,HKG,Asia Pacific,Hong Kong,176,3.01
151.145.69.105,2095,2095,false,HKG,Asia Pacific,Hong Kong,146,2.70
141.147.181.148,2052,2052,false,HKG,Asia Pacific,Hong Kong,294,2.62
47.76.77.103,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,2.53
141.147.178.135,2087,2087,true,HKG,Asia Pacific,Hong Kong,168,2.41
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,2.35
47.245.41.169,2082,2082,false,HKG,Asia Pacific,Hong Kong,297,2.34
158.179.190.253,2082,2082,false,SIN,Asia Pacific,Singapore,176,2.31
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,68,2.27
158.101.147.4,2052,2052,false,HKG,Asia Pacific,Hong Kong,172,2.27
8.210.21.65,2052,2052,false,HKG,Asia Pacific,Hong Kong,60,2.06
8.210.21.65,2082,2082,false,HKG,Asia Pacific,Hong Kong,62,2.05
151.145.68.104,2082,2082,false,HKG,Asia Pacific,Hong Kong,168,2.04
132.145.124.198,80,80,false,HKG,Asia Pacific,Hong Kong,3,1.99
47.245.41.169,8880,8880,false,HKG,Asia Pacific,Hong Kong,175,1.98
45.39.199.113,57722,443,true,HKG,Asia Pacific,Hong Kong,97,1.92
161.81.170.146,13568,443,true,HKG,Asia Pacific,Hong Kong,78,1.91
140.238.52.81,2095,2095,false,HKG,Asia Pacific,Hong Kong,172,1.89
131.186.37.49,2087,2087,true,HKG,Asia Pacific,Hong Kong,293,1.85
151.145.69.105,2052,2052,false,HKG,Asia Pacific,Hong Kong,165,1.83
