IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.95.126.8,80,80,false,HKG,Asia Pacific,Hong Kong,1,4.32
8.222.174.108,2086,2086,false,SIN,Asia Pacific,Singapore,100,4.30
8.219.3.53,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.30
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,93,4.28
8.222.252.150,2052,2052,false,SIN,Asia Pacific,Singapore,99,4.26
47.236.15.73,2083,2083,true,SIN,Asia Pacific,Singapore,93,4.25
47.236.163.221,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.25
47.236.65.177,2095,2095,false,SIN,Asia Pacific,Singapore,95,4.22
8.219.70.117,2052,2052,false,SIN,Asia Pacific,Singapore,92,4.20
8.222.229.102,8880,8880,false,SIN,Asia Pacific,Singapore,101,4.12
47.236.163.221,2082,2082,false,SIN,Asia Pacific,Singapore,90,4.11
8.219.139.13,2082,2082,false,SIN,Asia Pacific,Singapore,145,4.10
8.222.248.188,2096,2096,true,SIN,Asia Pacific,Singapore,109,4.10
8.219.78.1,8443,8443,true,SIN,Asia Pacific,Singapore,97,4.09
47.236.29.235,2096,2096,true,SIN,Asia Pacific,Singapore,156,4.05
8.219.173.233,2083,2083,true,SIN,Asia Pacific,Singapore,101,4.02
8.222.169.182,2095,2095,false,SIN,Asia Pacific,Singapore,97,4.02
8.222.240.47,8880,8880,false,SIN,Asia Pacific,Singapore,103,3.98
8.219.174.213,8080,8080,false,SIN,Asia Pacific,Singapore,95,3.93
8.222.252.150,8080,8080,false,SIN,Asia Pacific,Singapore,151,3.90
47.236.116.208,2095,2095,false,SIN,Asia Pacific,Singapore,99,3.89
8.222.138.164,2053,2053,true,SIN,Asia Pacific,Singapore,140,3.88
8.219.13.143,8080,8080,false,SIN,Asia Pacific,Singapore,88,3.88
47.236.114.23,2095,2095,false,SIN,Asia Pacific,Singapore,91,3.88
8.222.240.47,2095,2095,false,SIN,Asia Pacific,Singapore,91,3.87
8.222.255.15,2082,2082,false,SIN,Asia Pacific,Singapore,98,3.86
8.219.173.233,80,80,false,HKG,Asia Pacific,Hong Kong,1,3.84
47.236.103.153,8443,8443,true,SIN,Asia Pacific,Singapore,90,3.84
8.222.136.196,2082,2082,false,HKG,Asia Pacific,Hong Kong,132,3.82
8.219.228.157,80,80,false,HKG,Asia Pacific,Hong Kong,0,3.79
8.219.65.191,2096,2096,true,SIN,Asia Pacific,Singapore,100,3.78
8.222.255.15,8080,8080,false,SIN,Asia Pacific,Singapore,94,3.78
47.236.172.95,2053,2053,true,SIN,Asia Pacific,Singapore,117,3.76
8.219.13.143,2082,2082,false,SIN,Asia Pacific,Singapore,93,3.75
